name,id,x,y,z,x_min,x_max,y_min,y_max,z_min,z_max,n_pix,f_min,f_max,f_sum,rel,rms,w20,w50,ell_maj,ell_min,ell_pa,ell3s_maj,ell3s_min,ell3s_pa,kin_pa,err_x,err_y,err_z,err_f_sum,ra,dec,freq,flag,wm50,x_peak,y_peak,z_peak,ra_peak,dec_peak,freq_peak
WALLABY J134749-221757,5049.0,403.206976172229,2331.1980709066165,3530.094238038493,93.0,113.0,778.0,789.0,659.0,719.0,4404.0,-0.0226846132427454,0.02419298142194748,12333.34216280754,0.9866981720002115,0.007731524635635409,1013637.778866986,860036.183391885,8.183496605722349,3.921030474926067,75.84060965486934,7.909875939662417,3.135228856325463,69.56456609055836,257.0053832080835,0.3656896180958882,0.2216369812570112,1.472731351667307,1780.673578563596,206.9554277135171,-22.29916438400875,1.360872115519166E9,0.0,1022840.4577159,106.0,783.0,679.0,206.9503967906811,-22.29962510188046,1.360740740740675E9
WALLABY J134730-242254,5955.0,481.11943102615044,1083.5229295842469,4696.713255498284,176.0,186.0,778.0,789.0,664.0,700.0,1392.0,-0.01123121287673712,0.01549874432384968,3195.532125853609,0.8028338616918859,0.005699659607851264,449281.6775867608,433915.2571310835,4.757810516846931,3.443852482523091,-31.23345187415572,4.274800027987003,2.103173301831589,-46.06313618097641,-1.0,0.3250304572944045,0.3747927117164824,1.164776715143989,738.0130696266285,206.8787239377954,-24.38169419188283,1.382476171398029E9,4.0,447629.8612838606,182.0,784.0,672.0,206.8770839304934,-24.38093950683133,1.382314814814728E9
WALLABY J134722-243908,5951.0,505.585544387276,921.8956258092963,4963.409043543963,196.0,222.0,612.0,630.0,918.0,979.0,6891.0,-0.01438286621123552,0.01998957619071007,8516.212048990128,0.927698896006747,0.004746623735821079,924287.4198586686,435064.3223374473,8.813940847831331,6.921472004471759,-85.60564204670428,11.89002062896443,5.201198787521083,-89.07720272385352,76.05515888493835,0.3382689694300355,0.3070874838001781,1.136654083835471,1367.481460406798,206.8426100191461,-24.65223393783176,1.387414982287759E9,0.0,932464.2963051733,206.0,621.0,938.0,206.8418974298992,-24.65374588993945,1.387240740740649E9
WALLABY J134621-195905,5567.0,573.2860324674557,3724.278029438195,5407.591280153147,267.0,280.0,920.0,938.0,1359.0,1414.0,4566.0,-0.01294486969709396,0.02179799601435661,5799.780224715556,0.9368488886769061,0.004996388535448546,826715.5340909573,478088.6239710725,8.051298249680489,4.099590307230632,18.98814909855727,8.263839529136437,2.039644774014977,23.51005673030295,31.69004193563502,0.2560642820684289,0.37079798081591,1.082301356206445,1171.708747706456,206.5881276526542,-19.98485074050019,1.395640579261995E9,0.0,866797.8929262186,273.0,927.0,1378.0,206.5886874572557,-19.98697016479971,1.395388888888789E9
WALLABY J134633-232010,5279.0,595.5259156234517,1713.875627893015,2093.068695442078,289.0,303.0,1407.0,1420.0,405.0,432.0,1935.0,-0.007523014675825834,0.01505847740918398,2146.575663684337,0.7474120248771008,0.003226518401651251,391690.3166738137,247264.5098157128,6.030395265414991,5.342071896593884,-52.11285909426,5.88394505488202,2.237686879169769,27.63369189061854,-1.0,0.4048032610393376,0.3835599915767571,0.8291335519814547,492.5724826990635,206.6375037805453,-23.33634143010496,1.334260531397037E9,0.0,399000.4886858052,295.0,1416.0,426.0,206.6383567370697,-23.33277899536964,1.334351851851813E9
WALLABY J134608-194517,5324.0,599.3317786225621,3862.833876446949,557.0438288204525,288.0,311.0,1059.0,1080.0,6.0,90.0,6866.0,-0.01885963603854179,0.02163602225482464,9583.115582887373,0.8508178842895561,0.005436236641202797,1185851.898224718,932324.1483786749,11.14453749674713,4.720775610593607,-35.84344354849926,10.22396433228043,3.660695289933543,-30.71748692998411,340.5547298394553,0.3060288527224982,0.3539510391082882,1.574854446455908,1563.312385102899,206.5363630748707,-19.75483305656097,1.305815626459628E9,0.0,1195571.215613134,301.0,1064.0,69.0,206.5335157353623,-19.75963103860121,1.306037037037026E9
WALLABY J134625-245801,5912.0,639.3701325870018,736.5600886307608,779.6237876623036,332.0,347.0,427.0,448.0,258.0,303.0,4285.0,-0.008381564170122147,0.009533981792628765,3084.155426620844,0.737434633549679,0.002999488504988921,678358.4931742063,625796.5943862934,7.720089165262219,6.108150198966428,12.5912874258091,8.559253337218289,5.237523977770199,-17.85414305880816,13.9710304682997,0.3367789281683831,0.420506429625737,1.041151252136185,681.4251062808466,206.6064342304855,-24.96715955077827,1.309937477549288E9,0.0,679651.4891038124,339.0,435.0,273.0,206.6071969224334,-24.96974506549964,1.309814814814801E9
WALLABY J134600-212228,4698.0,640.5022860755162,2892.3719869644474,5227.501252650584,332.0,347.0,87.0,105.0,13.0,71.0,5395.0,-0.007696056272834539,0.01393999438732862,5335.240033529279,0.9985591817075502,0.002998005546285922,690727.1462760655,532018.5801263079,6.26294329132269,5.156110750373782,23.40149982537582,5.314209976077589,4.03535156405205,27.73287060188846,202.4035667538963,0.2576709418651046,0.2881143522950517,0.9283420594782479,764.2292785060336,206.5027086021554,-21.37460952918802,1.392305578752692E9,0.0,691233.0982894198,341.0,98.0,28.0,206.501747244712,-21.37191713533898,1.392092592592496E9
WALLABY J134603-230141,5174.0,659.2314505512977,1900.3844257866365,5260.851784136551,352.0,367.0,343.0,359.0,1228.0,1266.0,4238.0,-0.01059065852314234,0.0116723021492362,2803.171690335043,0.6058102838053805,0.002682263237379373,483954.5304119305,416258.9521180682,5.158113824946284,5.045946069553756,71.61969052532413,3.932094464298442,3.733707138117961,48.15031091080448,119.452849099346,0.3177329296684676,0.3106219007579398,0.8393345563526784,606.0066487205308,206.5129792340082,-23.0282926863046,1.392923181187617E9,0.0,484700.2914298028,360.0,353.0,1239.0,206.5115568425678,-23.02729920053532,1.392814814814718E9
WALLABY J134606-241006,5960.0,669.7431058249147,1216.4763834362675,4536.488910206131,361.0,377.0,906.0,926.0,501.0,540.0,4737.0,-0.01043392810970545,0.01156261749565601,3244.803489515766,0.8087306168244044,0.002856782639925663,471885.4146692513,295553.0310054205,9.392133113033504,5.852076570383937,16.1800077996532,7.542147850491018,4.313856219916086,3.469280610393668,348.5636856320119,0.3319286575241523,0.4412778541691315,0.7940913072032061,682.3770404854928,206.5264370432183,-24.16839464481539,1.379509053892622E9,0.0,472204.3403132001,369.0,917.0,524.0,206.5277708399132,-24.16749068235271,1.37957407407399E9
